Date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts,coin,NETT_DEALERS,COT_DEALERS,NETT_DEALERS/OI,New_WILLCO_DEALERS
2015-06-09,339974.0,160050.0,890.0,15779.0,22612.0,48090.0,6271.0,23531.0,139825.0,32068.0,58427.0,15763.0,3154.0,321891.0,261839.0,18083.0,78135.0,Japanese Yen,1591.6,100.0,0.004681534470283021,1.0
2015-06-16,295128.0,129849.0,483.0,7517.0,21497.0,47249.0,6484.0,43634.0,132478.0,20125.0,47125.0,10624.0,3240.0,279471.0,228200.0,15657.0,66928.0,Japanese Yen,1293.66,86.23700220344699,0.004383386191754087,0.936509262414411
2015-06-23,282724.0,137973.0,5062.0,11436.0,20189.0,30195.0,6900.0,18645.0,129116.0,20216.0,47338.0,10857.0,3327.0,266025.0,217110.0,16699.0,65614.0,Japanese Yen,1329.11,87.87457443909109,0.004701086572063213,1.0
2015-06-30,290022.0,137782.0,19041.0,10097.0,20635.0,28271.0,7677.0,21838.0,129429.0,21874.0,47050.0,11019.0,3711.0,270663.0,231118.0,19359.0,58904.0,Japanese Yen,1187.41,81.32890488222877,0.004094206646392343,0.8713006500111313
2015-07-07,278503.0,135404.0,33846.0,7513.0,18957.0,29031.0,7584.0,24349.0,114382.0,15806.0,45356.0,9114.0,4218.0,259186.0,221494.0,19317.0,57009.0,Japanese Yen,1015.58,73.3914144097118,0.003646567541462749,0.7763710611466583
2015-07-14,275027.0,131474.0,48814.0,6660.0,21450.0,42198.0,5523.0,25363.0,86655.0,16156.0,46124.0,9942.0,4173.0,256925.0,220122.0,18102.0,54905.0,Japanese Yen,826.6,64.66169928722879,0.003005523094096216,0.6404265353842594
2015-07-21,279599.0,132518.0,36676.0,6965.0,18527.0,44858.0,5727.0,29118.0,97387.0,16787.0,48362.0,11185.0,4427.0,262431.0,224012.0,17168.0,55587.0,Japanese Yen,958.42,70.75097353553925,0.0034278377247415046,0.7299856329186775
2015-07-28,276632.0,131686.0,34574.0,8972.0,19839.0,49363.0,5112.0,23910.0,92146.0,16628.0,48233.0,11091.0,4185.0,258565.0,222071.0,18067.0,54561.0,Japanese Yen,971.12,71.33763552122839,0.0035105121605598774,0.7475181722241404
2015-08-04,286318.0,134679.0,16730.0,10668.0,19752.0,54897.0,5067.0,27016.0,106942.0,18848.0,49381.0,11098.0,4948.0,270358.0,229198.0,15960.0,57120.0,Japanese Yen,1179.49,80.96304953367301,0.004119510474367661,0.8766667629354528
2015-08-11,296436.0,152467.0,3335.0,8342.0,20947.0,55670.0,3593.0,23546.0,128400.0,17965.0,47281.0,12566.0,4523.0,278664.0,234395.0,17772.0,62041.0,Japanese Yen,1491.32,95.36768000591283,0.005030832962258295,1.0
